edge.fcst.ncep.20180316.20180316:rms,40.28,1906 matchups
edge.fcst.ncep.20180317.20180317:rms,43.13,2311 matchups
edge.fcst.ncep.20180318.20180318:rms,48.03,2473 matchups
edge.fcst.ncep.20180319.20180319:rms,48.23,2615 matchups
edge.fcst.ncep.20180320.20180320:rms,52.66,2878 matchups
edge.fcst.ncep.20180321.20180321:rms,53.42,2678 matchups
edge.fcst.ncep.20180322.20180322:rms,54.06,2904 matchups
edge.fcst.ncep.20180323.20180323:rms,55.94,2989 matchups
edge.fcst.ncep.20180324.20180324:rms,59.21,2932 matchups
edge.fcst.ncep.20180325.20180325:rms,60.22,2918 matchups
edge.fcst.ncep.20180326.20180326:rms,60.36,2926 matchups
edge.fcst.ncep.20180327.20180327:rms,61.03,3091 matchups
edge.fcst.ncep.20180328.20180328:rms,62.20,3105 matchups
edge.fcst.ncep.20180329.20180329:rms,62.37,2912 matchups
edge.fcst.ncep.20180330.20180330:rms,60.74,2908 matchups
edge.fcst.ncep.20180331.20180331:rms,59.37,2776 matchups
edge.fcst.ncep.20180401.20180401:rms,60.93,2686 matchups
edge.fcst.ncep.20180402.20180402:rms,61.03,2724 matchups
edge.fcst.ncep.20180403.20180403:rms,63.41,2722 matchups
edge.fcst.ncep.20180404.20180404:rms,61.82,2670 matchups
edge.fcst.ncep.20180405.20180405:rms,59.59,2769 matchups
edge.fcst.ncep.20180406.20180406:rms,58.60,2865 matchups
edge.fcst.ncep.20180407.20180407:rms,57.95,2905 matchups
edge.fcst.ncep.20180408.20180408:rms,57.21,2804 matchups
edge.fcst.ncep.20180409.20180409:rms,56.89,2709 matchups
edge.fcst.ncep.20180410.20180410:rms,58.33,2754 matchups
edge.fcst.ncep.20180411.20180411:rms,58.44,2789 matchups
edge.fcst.ncep.20180412.20180412:rms,60.12,2851 matchups
edge.fcst.ncep.20180413.20180413:rms,59.72,2792 matchups
edge.fcst.ncep.20180414.20180414:rms,57.25,2765 matchups
edge.fcst.ncep.20180415.20180415:rms,58.58,2746 matchups
edge.fcst.ncep.20180416.20180416:rms,60.01,2789 matchups
edge.fcst.ncep.20180417.20180417:rms,58.50,2782 matchups
edge.fcst.ncep.20180418.20180418:rms,53.71,2764 matchups
edge.fcst.ncep.20180419.20180419:rms,53.61,2771 matchups
